t_code,sovereign_id,ink,dimensions,surface_name,series_name,curatorial_hook,neon_reading,concept_tags,emotional_register,color_palette
T_127,666127,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_128,666128,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_129,666129,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_130,666130,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_131,666131,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_132,666132,MB1; MB2; MB3,70x140cm,Red Star Dan Xuan,,,,,,
T_133,666133,MB1; MB2; MB3,,Red Star Dan Xuan,,,,,,
T_134,666134,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_135,666135,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_136,666136,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_137,666137,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_138,666138,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_139,666139,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_140,666140,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_141,666141,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_142,666142,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_143,666143,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_144,666144,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_145,666145,MB1; MB2; MB3,70x140cm,Jing Xian Processed,,,,,,
T_146,666146,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_147,666147,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_148,666148,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_149,666149,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_150,666150,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_151,666151,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_152,666152,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_153,666153,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_154,666154,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_155,666155,MB1; MB2; MB3,70x180cm,Tan Xi Special Pure,,,,,,
T_156,666156,MB1; MB2; MB3,70x140cm,Tan Xi Special Pure,,,,,,
T_157,666157,MB1; MB2; MB3,70x140cm,Tan Xi Special Pure,,,,,,
T_158,666158,MB1; MB2; MB3,70x140cm,Tan Xi Special Pure,,,,,,
T_159,666159,MB1; MB2; MB3,70x140cm,Tan Xi Special Pure,,,,,,
T_160,666160,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_161,666161,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_162,666162,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_163,666163,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_164,666164,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_165,666165,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_166,666166,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_167,666167,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_168,666168,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_169,666169,MB1; MB2; MB3,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_170,666170,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_171,666171,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
